Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tariq Abdul-Wahad\abdulta01,SG,27,TOT,24,441,9.8,0.418,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,,-0.3,0.3,0,-0.003,,-3.4,-0.3,-3.7,-0.2
1,Tariq Abdul-Wahad\abdulta01,SG,27,DEN,20,417,10.3,0.424,0.014,0.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,,-0.2,0.3,0,0.005,,-3.1,-0.5,-3.6,-0.2
1,Tariq Abdul-Wahad\abdulta01,SG,27,DAL,4,24,0.3,0,0,0.5,9.4,18.2,13.9,10.4,4.3,3,55.1,10.2,,-0.1,0,-0.1,-0.128,,-9,2.7,-6.3,0
2,Shareef Abdur-Rahim\abdursh01,PF,25,ATL,77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2,14.1,27,,4.1,3.1,7.2,0.116,,1.9,-0.2,1.7,2.8
3,Courtney Alexander\alexaco02,SG,24,WAS,56,1325,13.6,0.521,0.038,0.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,,1.6,0.6,2.2,0.08,,-0.9,-1.3,-2.2,-0.1
4,Victor Alexander\alexavi01,C,32,DET,15,97,9.2,0.367,0.039,0.157,8.6,26.6,17.6,11.5,0,0.7,8.4,28.9,,-0.3,0.1,-0.1,-0.073,,-5.3,-3.5,-8.8,-0.2
5,Malik Allen\allenma01,PF,23,MIA,12,161,15,0.469,0.02,0.196,11,16.6,13.8,5.5,1,3.8,3.5,17,,0.2,0.3,0.5,0.141,,-1.4,0.3,-1.1,0
6,Ray Allen*\allenra02,SG,26,MIL,69,2525,21.6,0.598,0.46,0.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,,7.6,1.3,8.9,0.169,,6,-1.1,4.9,4.4
7,Rafer Alston\alstora01,PG,25,MIL,50,600,13.9,0.434,0.372,0.152,2,11.4,6.9,36.4,2.8,0.2,16.4,19,,0.3,0.5,0.7,0.059,,-0.4,-0.3,-0.7,0.2
8,John Amaechi\amaecjo01,PF,31,UTA,54,586,5.4,0.412,0,0.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,,-1,0.3,-0.7,-0.056,,-5.4,-2.8,-8.2,-0.9
9,Chris Andersen\anderch01,C,23,DEN,24,262,13.8,0.417,0.054,0.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17,,0,0.3,0.3,0.058,,-3.3,0.3,-3,-0.1
10,Derek Anderson\anderde01,SG,27,POR,70,1860,15.5,0.538,0.373,0.34,2.9,9.1,6,18.6,2,0.3,11,19.4,,3.8,1.5,5.3,0.137,,1.4,0.2,1.6,1.7
11,Kenny Anderson\anderke01,PG,31,BOS,76,2430,13.6,0.472,0.046,0.184,2.5,10.1,6.2,28.1,3,0.3,13.3,16.7,,1.7,3.5,5.2,0.103,,-2.3,1.9,-0.4,1
12,Nick Anderson\anderni01,SG,34,MEM,15,219,4.9,0.375,0.632,0.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,,-0.6,0.2,-0.4,-0.08,,-5.2,-0.6,-5.9,-0.2
13,Shandon Anderson\andersh01,SG,28,NYK,82,1596,8,0.489,0.378,0.287,4.1,13.9,9,7.7,1.6,0.7,18.8,15.1,,-0.9,1.3,0.4,0.013,,-3,0.3,-2.8,-0.3
14,Greg Anthony\anthogr01,PG,34,TOT,60,1514,12.6,0.46,0.343,0.192,1.7,8.5,5.1,30.8,2.7,0.2,15.4,18.6,,0.2,0.9,1.1,0.036,,-1.4,-0.4,-1.9,0.1
14,Greg Anthony\anthogr01,PG,34,CHI,36,961,14.2,0.475,0.314,0.244,1.9,9,5.3,35.7,2.7,0.3,15.4,18,,0.6,0.6,1.2,0.059,,-0.3,-0.2,-0.5,0.4
14,Greg Anthony\anthogr01,PG,34,MIL,24,553,10,0.436,0.388,0.112,1.3,7.6,4.6,22.4,2.7,0.1,15.4,19.7,,-0.4,0.3,0,-0.004,,-3.4,-0.8,-4.2,-0.3
15,Gilbert Arenas\arenagi01,PG,20,GSW,47,1155,17,0.562,0.294,0.417,3.7,8.7,6.1,24.8,3,0.6,17.6,20.1,,2.1,0.7,2.7,0.114,,1,0,1,0.9
16,Brandon Armstrong\armstbr01,SG,21,NJN,35,196,3.8,0.358,0.2,0.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,,-0.4,0.2,-0.2,-0.054,,-7.2,-1.5,-8.8,-0.3
17,Darrell Armstrong\armstda01,PG,33,ORL,82,2730,16.7,0.553,0.481,0.248,3.4,9.7,6.5,25.5,3,0.3,16,17.9,,5,2.6,7.6,0.134,,1.6,0.8,2.4,3
18,Carlos Arroyo\arroyca01,PG,22,TOT,37,371,12.4,0.467,0.018,0.162,3.5,9,6.2,31.2,1.6,0.2,16.2,17.2,,0.2,0.1,0.4,0.047,,-1.8,-1.1,-2.9,-0.1
18,Carlos Arroyo\arroyca01,PG,22,TOR,17,96,11.9,0.474,0,0.207,3.5,11.1,7.2,36.3,3.4,0,27.5,20.7,,-0.1,0.1,0,0.018,,-3.8,0.4,-3.4,0
18,Carlos Arroyo\arroyca01,PG,22,DEN,20,275,12.6,0.464,0.024,0.146,3.6,8.3,5.8,29.5,1,0.3,11.2,16,,0.3,0,0.3,0.057,,-1.1,-1.6,-2.8,-0.1
