Player,G,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,TOV%
A.J. Slaughter,23,524,80,206,40,109,0.37,40,97,0.41,0.49,24,30,0.8,6,40,46,39,10,1,27,56,224,0.51,10.97
AJ Guyton,14,252,31,80,14,42,0.33,17,38,0.45,0.48,11,17,0.6,5,16,21,13,11,0,11,25,87,0.5,11.17
Aaron Doornekamp,58,1122,101,265,65,179,0.36,36,86,0.42,0.5,48,62,0.75,40,140,180,72,35,11,30,119,315,0.54,9.31
Aaron Jackson,178,3501,406,825,110,300,0.37,296,525,0.56,0.56,173,227,0.76,77,248,325,457,117,5,211,298,1095,0.59,18.58
Aaron Miles,30,940,114,266,24,61,0.39,90,205,0.44,0.47,53,78,0.68,18,82,100,107,48,4,64,66,305,0.51,17.57
Aaron Mitchell,11,93,14,32,5,12,0.42,9,20,0.45,0.52,7,11,0.65,3,4,7,9,6,0,6,15,40,0.54,14.01
Aaron White,85,1807,226,438,37,106,0.35,189,332,0.57,0.56,144,186,0.79,80,241,321,63,36,21,68,165,633,0.61,11.57
Aboubakar Zaki,10,87,5,12,0,1,0.0,5,11,0.45,0.42,3,9,0.33,6,14,20,2,1,5,4,13,13,0.41,20.04
Achille Polonara,27,338,29,89,9,40,0.22,20,49,0.41,0.38,18,28,0.64,31,44,75,6,15,11,7,29,85,0.42,6.46
Acie Law,60,1366,159,375,29,88,0.33,130,287,0.45,0.46,107,146,0.73,15,94,109,134,40,3,99,113,454,0.52,18.39
Adam Chubb,16,282,44,75,1,1,1.0,43,74,0.58,0.59,32,44,0.73,18,48,66,2,6,4,19,57,121,0.64,16.76
Adam Hanga,156,3740,465,1028,126,409,0.31,339,619,0.55,0.51,222,321,0.68,134,469,603,338,160,94,193,365,1278,0.55,14.17
Adam Hess,14,370,49,109,21,54,0.39,28,55,0.51,0.55,28,38,0.74,23,30,53,18,9,2,15,43,147,0.58,10.66
Adam Hrycaniuk,44,509,43,95,0,5,0.0,43,90,0.48,0.45,24,26,0.92,48,94,142,10,18,9,34,99,110,0.52,24.21
Adam Lapeta,14,230,21,38,0,2,0.0,21,36,0.58,0.55,13,20,0.57,25,23,48,3,4,2,11,34,55,0.59,19.03
Adam Waczynski,27,510,96,192,51,103,0.5,45,89,0.51,0.63,29,35,0.83,25,37,62,30,20,1,26,47,272,0.66,11.14
Adam Wojcik,95,2136,369,751,59,175,0.34,310,576,0.54,0.53,233,327,0.71,125,201,326,71,64,64,167,243,1030,0.58,15.73
Adas Juskevicius,23,205,18,44,4,12,0.33,14,32,0.44,0.45,8,11,0.73,7,18,25,15,4,1,17,11,48,0.49,25.82
Ademola Okulaja,52,1411,221,467,45,133,0.34,176,334,0.53,0.52,95,169,0.55,119,233,352,79,67,16,84,99,582,0.54,13.43
Adreian Payne,25,356,68,133,17,48,0.35,51,85,0.6,0.58,41,57,0.7,32,53,85,12,10,9,24,52,194,0.61,13.18
Adrian Autry,18,383,44,88,13,32,0.41,31,56,0.55,0.57,29,48,0.6,9,32,41,21,17,1,39,46,130,0.6,26.33
Adrien Moerman,142,3394,497,1101,164,476,0.34,333,625,0.53,0.53,114,146,0.77,168,579,747,143,124,37,138,304,1272,0.55,10.59
Ahmet Tuncer,9,61,9,20,6,13,0.46,3,7,0.43,0.6,2,3,0.67,1,3,4,14,4,0,4,9,26,0.61,15.8
Ainars Bagatskis,29,507,60,149,46,111,0.41,14,38,0.37,0.56,42,47,0.89,10,36,46,16,13,0,19,61,208,0.61,10.07
Ajdin Penava,4,13,0,5,0,4,0.0,0,1,0.0,0.0,2,2,1.0,1,3,4,0,0,0,0,0,2,0.17,0.0
Akeem Vargas,24,324,14,52,11,34,0.32,3,18,0.17,0.38,4,8,0.5,2,28,30,13,13,1,9,65,43,0.39,13.95
Akin Akingbala,8,237,41,72,0,1,0.0,41,71,0.58,0.57,14,32,0.44,22,33,55,4,10,8,15,15,96,0.56,14.84
