Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Wojcik,Slask Wroclaw,14,374,73,135,0.541,15,36,0.417,58,99,0.586,0.596,43,63,0.683,18,34,52,9,10,17,37,42,204
Ainars Bagatskis,BC Zalgiris,12,288,32,83,0.386,23,57,0.404,9,26,0.346,0.524,27,30,0.9,6,25,31,9,7,0,11,35,114
AJ Guyton,Skipper Fortitudo Bologna,12,199,25,63,0.397,12,33,0.364,13,30,0.433,0.492,9,13,0.692,4,11,15,9,10,0,8,22,71
Alberto D'inca,Benetton Treviso,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Alejandro Montecchia,Pamesa Valencia,18,398,51,111,0.459,30,77,0.39,21,34,0.618,0.595,27,30,0.9,5,43,48,46,16,0,28,51,159
Aleksandar Ugrinoski,Cibona Zagreb,2,4,0,0,,0,0,,0,0,,,0,2,0,0,0,0,3,1,0,0,0,0
Alessandro Abbio,Pamesa Valencia,5,106,11,21,0.524,6,13,0.462,5,8,0.625,0.667,6,8,0.75,2,8,10,11,2,1,4,11,34
Alessandro Tonolli,Lottomatica Roma,14,305,22,52,0.423,18,40,0.45,4,12,0.333,0.596,13,18,0.722,9,40,49,10,8,8,12,49,75
Alex Righetti,Lottomatica Roma,9,198,28,55,0.509,11,22,0.5,17,33,0.515,0.609,11,11,1,4,14,18,5,6,2,12,32,78
Alexandr Bashminov,CSKA Moscow,10,98,15,26,0.577,0,1,0,15,25,0.6,0.577,5,10,0.5,12,19,31,3,3,10,1,12,35
Alexey Savrasenko,CSKA Moscow,17,201,28,43,0.651,0,0,,28,43,0.651,0.651,16,40,0.4,25,30,55,3,9,13,5,28,72
Aloysius Anagonye,KK Union Olimpija,18,340,50,101,0.495,1,4,0.25,49,97,0.505,0.5,21,29,0.724,40,47,87,9,13,11,20,58,122
Alper Yilmaz,Efes Pilsen,20,348,10,40,0.25,6,30,0.2,4,10,0.4,0.325,7,10,0.7,9,26,35,30,21,2,12,43,33
Anderson Varejao,FC Barcelona,18,389,52,97,0.536,3,16,0.188,49,81,0.605,0.552,32,55,0.582,31,60,91,10,19,12,25,44,139
Andre Owens,Adecco ASVEL Villeurbanne,8,226,29,74,0.392,5,18,0.278,24,56,0.429,0.426,14,19,0.737,5,26,31,27,12,1,20,21,77
Andrea Bargnani,Benetton Treviso,8,64,6,11,0.545,1,5,0.2,5,6,0.833,0.591,6,8,0.75,4,8,12,0,2,1,5,10,19
Andreas Glyniadakis,AEK Athens,14,195,18,31,0.581,0,0,,18,31,0.581,0.581,25,26,0.962,13,28,41,2,5,7,14,52,61
Andrej Stimac,Cibona Zagreb,13,159,11,34,0.324,5,24,0.208,6,10,0.6,0.397,7,10,0.7,6,12,18,3,7,0,6,19,34
Andres Nocioni,TAU Ceramica,16,413,78,163,0.479,20,53,0.377,58,110,0.527,0.54,44,58,0.759,19,73,92,24,14,15,39,49,220
Andrew Betts,TAU Ceramica,15,290,38,69,0.551,0,0,,38,69,0.551,0.551,26,47,0.553,19,45,64,11,9,4,20,44,102
Andrija Zizic,Cibona Zagreb,19,420,84,161,0.522,1,1,1,83,160,0.519,0.525,41,61,0.672,36,65,101,2,4,1,27,67,210
Andrius Lepinaitis,BC Zalgiris,1,4,1,1,1,0,0,,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,2
Ante Grgourevic,KK Krka,2,49,4,8,0.5,2,3,0.667,2,5,0.4,0.625,2,2,1,2,7,9,0,0,0,1,6,12
Anthony Parker,Maccabi Tel Aviv,21,737,109,201,0.542,24,49,0.49,85,152,0.559,0.602,94,108,0.87,18,103,121,74,26,8,34,50,336
Antoine Rigaudeau,Pamesa Valencia,19,562,98,185,0.53,28,73,0.384,70,112,0.625,0.605,58,66,0.879,5,29,34,43,30,1,39,61,282
Anton Kazarnovski,Maccabi Tel Aviv,1,1,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,0,0,1
Anton Yudin,CSKA Moscow,16,142,14,32,0.438,10,22,0.455,4,10,0.4,0.594,1,1,1,2,9,11,10,5,0,6,22,39
Antonio Granger,Efes Pilsen,20,686,112,237,0.473,51,126,0.405,61,111,0.55,0.58,39,51,0.765,24,57,81,31,24,8,25,46,314
Arda Vekiloglu,Fenerbahçe,11,121,10,28,0.357,2,10,0.2,8,18,0.444,0.393,1,1,1,7,4,11,3,4,0,8,15,23
Arriel McDonald,Panathinaikos,20,610,70,140,0.5,20,41,0.488,50,99,0.505,0.571,52,72,0.722,6,41,47,58,38,2,30,61,212
