,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Nicolás Brussino,2,2017,2018,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,0.364,0.299,0.773,9.2,2.6,1.7,0.8,2-Mar-93,Santa Fe
2,Carlos Delfino,8,2005,2013,507,11580,1472,3669,678,1856,493,650,287,1815,887,461,88,509,827,4115,0.401,0.365,0.758,22.8,8.1,3.6,1.7,29-Aug-82,Santa Fe
3,Patricio Garino,1,2017,2017,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,0,0,,8.6,0,1.4,0,17-May-93,Buenos Aires
4,Manu Ginóbili,16,2003,2018,1057,26859,4584,10262,1495,4055,3380,4089,685,3697,4001,1392,319,2116,2212,14043,0.447,0.369,0.827,25.4,13.3,3.5,3.8,28-Jul-77,Bahia Blanca
5,Walter Herrmann,3,2007,2009,152,1939,312,681,114,299,81,103,78,319,66,31,12,61,143,819,0.458,0.381,0.786,12.8,5.4,2.1,0.4,26-Jun-79,Venado Tuerto
6,Nicolás Laprovíttola,1,2017,2017,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,0.426,0.37,1,9.7,3.3,0.6,1.6,31-Jan-90,Buenos Aires
7,Andrés Nocioni,8,2005,2012,514,12013,1932,4478,587,1574,964,1206,354,2295,614,215,228,724,1394,5415,0.431,0.373,0.799,23.4,10.5,4.5,1.2,30-Nov-79,Santa Fe
8,Fabricio Oberto,6,2006,2011,336,4871,481,835,0,4,119,193,443,1175,300,89,75,225,733,1081,0.576,0,0.617,14.5,3.2,3.5,0.9,21-Mar-75,Las Varillas
9,Pablo Prigioni,4,2013,2016,270,4566,334,786,203,535,75,86,145,505,765,268,6,257,429,946,0.425,0.379,0.872,16.9,3.5,1.9,2.8,17-May-77,Rio Tercero
10,Pepe Sánchez,2,2001,2003,38,187,9,33,0,1,2,2,7,21,49,16,1,8,24,20,0.273,0,1,4.9,0.5,0.6,1.3,8-May-77,Bahia Blanca
11,Luis Scola,10,2008,2017,743,19001,3669,7442,92,271,1452,1961,1335,4941,1194,474,224,1121,2037,8882,0.493,0.339,0.74,25.6,12,6.7,1.6,30-Apr-80,Buenos Aires
12,Rubén Wolkowyski,2,2001,2003,41,329,27,83,0,3,26,38,12,47,4,6,18,13,41,80,0.325,0,0.684,8,2,1.1,0.1,30-Sep-73,Buenos Aires
