,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,David Andersen,2,2010,2011,103,1264,203,461,35,101,60,89,74,292,57,20,21,59,159,501,0.44,0.347,0.674,12.3,4.9,2.8,0.6,23-Jun-80,Carlton
2,Chris Anstey,3,1998,2000,155,2157,303,734,4,29,203,269,178,534,127,78,65,147,373,813,0.413,0.138,0.755,13.9,5.2,3.4,0.8,1-Jan-75,Melbourne
3,Cameron Bairstow,2,2015,2016,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,0.296,0.2,0.846,4.6,1.2,1,0.2,7-Dec-90,Brisbane
4,Andrew Bogut,14,2006,2019,705,19862,2986,5585,3,25,833,1495,1754,6112,1546,442,1091,1204,2186,6808,0.535,0.12,0.557,28.2,9.7,8.7,2.2,28-Nov-84,Melbourne
5,Jonah Bolden,2,2019,2020,51,686,84,173,34,100,15,31,50,174,40,20,41,38,109,217,0.486,0.34,0.484,13.5,4.3,3.4,0.8,2-Jan-96,Melbourne
6,Mark Bradtke,1,1997,1997,36,251,25,58,0,0,9,13,26,68,7,5,5,9,34,59,0.431,,0.692,7,1.6,1.9,0.2,27-Sep-68,Adelaide
7,Ryan Broekhoff,2,2019,2020,59,633,79,185,58,144,22,27,13,106,33,11,8,22,50,238,0.427,0.403,0.815,10.7,4,1.8,0.6,23-Aug-90,Melbourne
8,Mitch Creek,1,2019,2019,5,48,8,16,0,2,5,7,6,12,6,2,0,1,3,21,0.5,0,0.714,9.6,4.2,2.4,1.2,27-Apr-92,Horsham
9,Matthew Dellavedova,7,2014,2020,434,8849,863,2217,396,1075,305,364,161,774,1591,202,20,546,824,2427,0.389,0.368,0.838,20.4,5.6,1.8,3.7,8-Sep-90,Maryborough
10,Dante Exum,5,2015,2020,239,4429,499,1226,165,536,203,265,89,424,502,97,42,301,420,1366,0.407,0.308,0.766,18.5,5.7,1.8,2.1,13-Jul-95,Melbourne
11,Andrew Gaze,2,1994,1999,26,128,16,42,9,24,2,2,3,12,11,4,2,7,16,43,0.381,0.375,1,4.9,1.7,0.5,0.4,24-Jul-65,Melbourne
12,Shane Heal,2,1997,2004,49,308,33,121,24,83,7,10,3,22,38,4,3,22,22,97,0.273,0.289,0.7,6.3,2,0.4,0.8,6-Sep-70,Melbourne
13,Isaac Humphries,1,2019,2019,5,56,6,21,3,11,0,0,4,11,0,1,0,0,7,15,0.286,0.273,,11.2,3,2.2,0,5-Jan-98,Sydney
14,Joe Ingles,6,2015,2020,478,12169,1415,3169,810,1991,320,426,150,1539,1737,476,73,764,897,3960,0.447,0.407,0.751,25.5,8.3,3.2,3.6,2-Oct-87,Happy Valley
15,Kyrie Irving,9,2012,2020,528,17827,4346,9332,1119,2870,2031,2316,407,1955,3012,699,187,1395,1171,11842,0.466,0.39,0.877,33.8,22.4,3.7,5.7,23-Mar-92,Melbourne
16,Nathan Jawai,2,2009,2010,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,0.435,0,0.684,9.6,2.8,2.4,0.5,10-Oct-86,Sydney
17,Luc Longley,10,1992,2001,567,12006,1685,3647,0,5,720,947,872,2794,836,278,549,942,1730,4090,0.462,0,0.76,21.2,7.2,4.9,1.5,19-Jan-69,Melbourne
18,Mangok Mathiang,1,2018,2018,4,20,4,7,0,0,0,1,3,10,0,1,0,0,5,8,0.571,,0,5,2,2.5,0,8-Oct-92,Melbourne
19,Patty Mills,11,2010,2020,671,12982,2111,4901,1059,2719,580,681,211,1118,1549,440,53,659,883,5861,0.431,0.389,0.852,19.3,8.7,1.7,2.3,11-Aug-88,Canberra
20,Luke Schenscher,2,2006,2007,31,267,23,49,0,0,9,20,18,54,8,3,7,9,46,55,0.469,,0.45,8.6,1.8,1.7,0.3,31-Dec-82,Hope Forest
21,Ben Simmons,3,2018,2020,217,7449,1459,2605,2,24,633,1067,430,1800,1726,371,164,752,606,3553,0.56,0.083,0.593,34.3,16.4,8.3,8,20-Jul-96,Melbourne
