,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Dragan Bender,4,2017,2020,187,3755,373,934,183,567,85,130,113,720,237,54,106,202,372,1014,0.399,0.323,0.654,20.1,5.4,3.9,1.3,17-Nov-97,Capljina
2,Bojan Bogdanović,6,2015,2020,462,13172,2305,5008,872,2215,1088,1268,225,1607,689,255,37,723,746,6570,0.46,0.394,0.858,28.5,14.2,3.5,1.5,18-Apr-89,Mostar
3,Sasha Danilović,2,1996,1997,75,2331,331,754,119,314,176,223,41,182,149,69,12,153,209,957,0.439,0.379,0.789,31.1,12.8,2.4,2,26-Feb-70,Sarajevo
4,Mile Ilić,1,2007,2007,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,0,,,1.2,0,0.2,0,2-Jun-84,Tuzla
5,Ognjen Kuzmić,2,2014,2015,37,164,13,25,0,0,9,15,17,38,8,5,5,15,30,35,0.52,,0.6,4.4,0.9,1,0.2,16-May-90,Doboj
6,Damir Markota,1,2007,2007,30,170,19,52,6,16,7,11,11,31,6,3,1,15,22,51,0.365,0.375,0.636,5.7,1.7,1,0.2,26-Dec-85,Sarajevo
7,Džanan Musa,2,2019,2020,49,526,73,194,20,88,45,62,22,91,45,17,1,40,31,211,0.376,0.227,0.726,10.7,4.3,1.9,0.9,8-May-99,Bihac
8,Jusuf Nurkić,6,2015,2020,318,7356,1497,3045,5,52,750,1114,799,2562,621,272,416,654,995,3749,0.492,0.096,0.673,23.1,11.8,8.1,2,23-Aug-94,Tuzla
9,Zoran Planinić,3,2004,2006,148,1584,197,486,37,128,130,192,47,198,165,58,7,120,237,561,0.405,0.289,0.677,10.7,3.8,1.3,1.1,12-Sep-82,Mostar
10,Vladimir Radmanović,12,2002,2013,737,16164,2148,5177,971,2567,612,807,654,2784,998,537,263,837,1552,5879,0.415,0.378,0.758,21.9,8,3.8,1.4,19-Nov-80,Trebinje
11,Mirza Teletović,6,2013,2018,324,5765,927,2285,541,1460,241,319,189,1042,273,104,82,255,552,2636,0.406,0.371,0.755,17.8,8.1,3.2,0.8,18-Sep-85,Mostar
12,Ratko Varda,1,2002,2002,1,6,2,3,0,0,1,1,0,1,0,0,0,1,3,5,0.667,,1,6,5,1,0,6-May-79,Bosanska Gradiska
13,Ivica Zubac,4,2017,2020,212,3385,635,1124,0,6,296,392,398,1187,200,52,165,187,418,1566,0.565,0,0.755,16,7.4,5.6,0.9,18-Mar-97,Mostar
