,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Rafael Araújo,3,2005,2007,139,1585,156,385,1,4,76,112,124,395,41,51,16,111,300,389,0.405,0.25,0.679,11.4,2.8,2.8,0.3,12-Aug-80,Curitiba
2,Leandro Barbosa,14,2004,2017,850,18386,3403,7409,988,2556,1241,1511,319,1720,1775,693,121,1061,1651,9035,0.459,0.387,0.821,21.6,10.6,2,2.1,28-Nov-82,Sao Paulo
3,Bruno Caboclo,6,2015,2020,99,1257,154,385,62,196,55,65,79,254,71,36,57,65,129,425,0.4,0.316,0.846,12.7,4.3,2.6,0.7,21-Sep-95,Osasco
4,Vítor Faverani,1,2014,2014,37,488,64,147,12,40,24,37,42,128,16,14,27,41,74,164,0.435,0.3,0.649,13.2,4.4,3.5,0.4,5-May-88,Porto Alegre
5,Cristiano Felício,5,2016,2020,234,3470,424,741,0,12,207,305,371,966,174,68,50,151,348,1055,0.572,0,0.679,14.8,4.5,4.1,0.7,7-Jul-92,Pouso Alegre
6,Rolando Ferreira,1,1989,1989,12,34,1,18,0,0,7,8,4,13,1,0,1,6,7,9,0.056,,0.875,2.8,0.8,1.1,0.1,24-May-64,Curitiba
7,Alex Garcia,2,2004,2005,10,159,19,59,5,18,4,6,7,15,18,6,1,9,15,47,0.322,0.278,0.667,15.9,4.7,1.5,1.8,4-Mar-80,Orlandia
8,Nenê Hilário,17,2003,2019,965,25237,4175,7621,7,53,2552,3864,1688,5828,1719,1041,721,1688,2934,10909,0.548,0.132,0.66,26.2,11.3,6,1.8,13-Sep-82,Sao Carlos
9,Marcelo Huertas,2,2016,2017,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,0.409,0.25,0.783,14.6,3.9,1.5,3.1,25-May-83,Sao Paulo
10,Fab Melo,1,2013,2013,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,0.5,,0.25,6,1.2,0.5,0,20-Jun-90,Juiz de Forz
11,Raul Neto,5,2016,2020,253,3485,465,1043,147,388,153,194,45,322,471,134,21,242,307,1230,0.446,0.379,0.789,13.8,4.9,1.3,1.9,19-May-92,Belo Horizonte
12,Lucas Nogueira,4,2015,2018,141,1754,182,288,9,34,73,114,120,388,72,89,144,75,221,446,0.632,0.265,0.64,12.4,3.2,2.8,0.5,26-Jul-92,Sao Goncalo
13,Tiago Splitter,7,2011,2017,355,6812,1073,1932,2,14,668,958,576,1779,423,198,209,384,685,2816,0.555,0.143,0.697,19.2,7.9,5,1.2,1-Jan-85,Joinville
14,Anderson Varejão,13,2005,2017,627,15051,1804,3534,1,42,952,1509,1504,4511,734,537,405,592,1630,4561,0.51,0.024,0.631,24,7.3,7.2,1.2,28-Sep-82,Santa Teresa
15,João Vianna,1,1992,1992,1,9,1,2,0,0,0,0,0,0,2,0,0,1,3,2,0.5,,,9,2,0,2,15-Nov-66,Brasilia
16,Marcus Vinicius,2,2007,2008,26,172,16,35,8,19,10,18,3,19,7,3,2,9,14,50,0.457,0.421,0.556,6.6,1.9,0.7,0.3,31-May-84,Sao Paulo
