,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Kyle Alexander,1,2020,2020,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,0.5,,,6.5,1,1.5,0,21-Oct-96,Scarborough
2,Nickeil Alexander-Walker,1,2020,2020,47,591,98,266,46,133,25,37,9,84,89,17,8,54,57,267,0.368,0.346,0.676,12.6,5.7,1.8,1.9,2-Sep-98,Toronto
3,Joel Anthony,10,2008,2017,490,7056,398,776,0,0,268,405,562,1353,99,127,531,227,819,1064,0.513,,0.662,14.4,2.2,2.8,0.2,9-Aug-82,Montreal
4,Norm Baker,1,1947,1947,4,,0,1,,,0,0,,,0,,,,0,0,0,,,,0,,0,17-Feb-23,Victoria
5,RJ Barrett,1,2020,2020,56,1704,292,727,63,197,156,254,50,279,143,55,17,124,122,803,0.402,0.32,0.614,30.4,14.3,5,2.6,14-Jun-00,Toronto
6,Anthony Bennett,4,2014,2017,151,1905,251,641,36,138,120,179,132,472,77,58,27,99,206,658,0.392,0.261,0.67,12.6,4.4,3.1,0.5,14-Mar-93,Toronto
7,Sim Bhullar,1,2015,2015,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,0.5,,,1,0.7,0.3,0.3,2-Dec-92,Ontario
8,Khem Birch,3,2018,2020,140,2143,232,420,0,2,166,245,240,590,122,53,73,72,219,630,0.552,0,0.678,15.3,4.5,4.2,0.9,28-Sep-92,Montreal
9,Oshae Brissett,1,2020,2020,19,135,13,36,3,15,8,10,9,26,7,4,1,7,18,37,0.361,0.2,0.8,7.1,1.9,1.4,0.4,20-Jun-98,Toronto
10,Dillon Brooks,3,2018,2020,173,4792,824,1962,256,715,310,399,126,531,301,146,48,267,561,2214,0.42,0.358,0.777,27.7,12.8,3.1,1.7,22-Jan-96,Mississauga
11,Brandon Clarke,1,2020,2020,58,1300,296,479,23,64,85,112,92,345,81,32,48,55,100,700,0.618,0.359,0.759,22.4,12.1,5.9,1.4,19-Sep-96,Vancouver
12,Ron Crevier,1,1986,1986,3,4,0,3,0,0,0,2,1,1,0,0,0,0,2,0,0,,0,1.3,0,0.3,0,14-Apr-58,Montreal
13,Bobby Croft,1,1971,1971,62,739,126,348,0,2,73,112,83,206,41,,,44,137,325,0.362,0,0.652,11.9,5.2,3.3,0.7,17-Mar-46,
14,Luguentz Dort,1,2020,2020,36,820,86,218,30,101,42,53,24,81,27,31,4,22,97,244,0.394,0.297,0.792,22.8,6.8,2.3,0.8,19-Apr-99,Montreal
15,Tyler Ennis,4,2015,2018,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779,0.419,0.317,0.768,12.6,4.2,1.3,1.9,24-Aug-94,Brampton
16,Rick Fox,13,1992,2004,930,23723,3382,7519,771,2208,1431,1858,996,3517,2649,967,355,1611,2739,8966,0.45,0.349,0.77,25.5,9.6,3.8,2.8,24-Jul-69,Toronto
17,Shai Gilgeous-Alexander,2,2019,2020,152,4602,819,1731,138,390,444,552,104,644,502,175,92,275,292,2220,0.473,0.354,0.804,30.3,14.6,4.2,3.3,12-Jul-98,Toronto
18,Stewart Granger,3,1984,1987,80,996,123,297,4,17,66,89,15,78,173,33,1,91,127,316,0.414,0.235,0.742,12.5,4,1,2.2,27-Oct-61,Montreal
19,Bob Houbregs*,5,1954,1958,281,6725,906,2245,,,799,1108,,1552,500,,,,690,2611,0.404,,0.721,23.9,9.3,5.5,1.8,12-Mar-32,Vancouver
20,Cory Joseph,9,2012,2020,600,13115,1615,3666,293,883,600,780,305,1551,1736,459,132,600,906,4123,0.441,0.332,0.769,21.9,6.9,2.6,2.9,20-Aug-91,Toronto
21,Kris Joseph,1,2013,2013,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,0.143,0,0.625,5.4,0.9,0.7,0.1,17-Dec-88,Montreal
22,Mfiondu Kabengele,1,2020,2020,12,64,14,32,9,20,5,5,1,11,2,2,2,2,9,42,0.438,0.45,1,5.3,3.5,0.9,0.2,14-Aug-97,Toronto
23,Trey Lyles,5,2016,2020,351,6322,980,2263,313,918,329,465,277,1488,375,140,123,297,513,2602,0.433,0.341,0.708,18,7.4,4.2,1.1,5-Nov-95,Saskatoon
24,Todd MacCulloch,4,2000,2003,223,3439,568,1049,0,0,233,363,340,888,121,61,177,154,478,1369,0.541,,0.642,15.4,6.1,4,0.5,27-Jan-76,Winnipeg
25,Jamaal Magloire,12,2001,2012,680,14621,1763,3675,0,7,1391,2176,1418,4408,386,224,603,998,1792,4917,0.48,0,0.639,21.5,7.2,6.5,0.6,21-May-78,Toronto
26,Naz Mitrou-Long,3,2018,2020,20,132,13,38,5,24,2,2,1,13,23,2,2,11,12,33,0.342,0.208,1,6.6,1.7,0.7,1.2,3-Aug-93,Mississauga
27,Mychal Mulder,1,2020,2020,7,204,26,67,16,52,9,12,3,23,8,2,1,5,20,77,0.388,0.308,0.75,29.1,11,3.3,1.1,12-Jun-94,Etobicoke
28,Jamal Murray,4,2017,2020,297,8680,1695,3859,544,1518,687,781,233,1064,1091,264,96,570,552,4621,0.439,0.358,0.88,29.2,15.6,3.6,3.7,23-Feb-97,Kitchener
29,Andrew Nicholson,5,2013,2017,285,4080,708,1517,87,271,197,255,188,857,126,74,95,212,458,1700,0.467,0.321,0.773,14.3,6,3,0.4,8-Dec-89,Mississauga
30,Kelly Olynyk,7,2014,2020,500,10647,1759,3692,568,1524,750,968,582,2421,934,354,223,706,1388,4836,0.476,0.373,0.775,21.3,9.7,4.8,1.9,19-Apr-91,Toronto
31,Dwight Powell,6,2015,2020,371,6956,1062,1885,103,351,640,866,545,1711,364,251,173,247,782,2867,0.563,0.293,0.739,18.7,7.7,4.6,1,20-Jul-91,Toronto
32,Xavier Rathan-Mayes,1,2018,2018,5,118,12,42,1,14,4,9,0,5,18,6,3,11,18,29,0.286,0.071,0.444,23.6,5.8,1,3.6,29-Apr-94,Scarborough
33,Leo Rautins,2,1984,1985,32,208,21,60,0,0,6,10,10,35,32,9,2,20,34,48,0.35,,0.6,6.5,1.5,1.1,1,20-Mar-60,Toronto
34,Marial Shayok,1,2020,2020,4,28,3,12,2,6,3,4,1,7,1,0,1,3,4,11,0.25,0.333,0.75,7,2.8,1.8,0.3,26-Jul-95,Ottawa
35,Mike Smrek,7,1986,1992,194,1890,211,489,0,2,132,214,146,422,49,37,150,138,417,554,0.431,0,0.617,9.7,2.9,2.2,0.3,31-Aug-62,Welland
36,Gino Sovran,1,1947,1947,6,,5,15,,,1,2,,,1,,,,5,11,0.333,,0.5,,1.8,,0.2,17-Dec-24,Windsor
37,Nik Stauskas,5,2015,2019,335,6662,765,1967,396,1121,346,425,77,688,513,139,80,339,425,2272,0.389,0.353,0.814,19.9,6.8,2.1,1.5,7-Oct-93,Mississauga
38,Tristan Thompson,9,2012,2020,619,17372,2344,4524,9,32,1142,1871,2115,5393,624,317,447,718,1438,5839,0.518,0.281,0.61,28.1,9.4,8.7,1,13-Mar-91,Toronto
39,Ernie Vandeweghe,6,1950,1956,224,3600,818,1942,,,499,674,,834,548,,,,753,2135,0.421,,0.74,26.1,9.5,4.6,2.4,12-Sep-28,Montreal
40,Bill Wennington,13,1986,2000,720,9740,1379,3006,5,36,538,684,688,2148,440,226,248,440,1680,3301,0.459,0.139,0.787,13.5,4.6,3,0.6,26-Apr-63,Montreal
41,Andrew Wiggins,6,2015,2020,454,16242,3304,7488,540,1625,1795,2451,572,1977,1065,452,278,954,981,8943,0.441,0.332,0.732,35.8,19.7,4.4,2.3,23-Feb-95,Toronto
42,Jim Zoet,1,1983,1983,7,30,1,5,0,0,0,0,3,8,1,1,3,4,9,2,0.2,,,4.3,0.3,1.1,0.1,20-Dec-53,Uxbridge
