,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Duje Dukan,1,2016,2016,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,0.2,0.4,,24,6,4,1,4-Dec-91,Split
2,Gordan Giriček,6,2003,2008,384,8824,1424,3225,289,786,533,648,167,941,584,222,47,517,749,3670,0.442,0.368,0.823,23,9.6,2.5,1.5,20-Jun-77,Zagreb
3,Mario Hezonja,5,2016,2020,330,6107,854,2047,266,833,310,382,147,1026,415,243,80,371,549,2284,0.417,0.319,0.812,18.5,6.9,3.1,1.3,25-Feb-95,Dubrovnik
4,Mario Kasun,2,2005,2006,73,569,78,167,0,1,42,66,76,188,11,10,16,41,155,198,0.467,0,0.636,7.8,2.7,2.6,0.2,5-Apr-80,Split
5,Toni Kukoč,13,1994,2006,846,22212,3633,8127,731,2184,1813,2487,1016,3555,3119,817,290,1544,1465,9810,0.447,0.335,0.729,26.3,11.6,4.2,3.7,18-Sep-68,Split
6,Kosta Perović,1,2008,2008,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,0.3,,0.667,5.4,1.4,1.9,0.1,19-Feb-85,Osijek
7,Dražen Petrović*,4,1990,1993,290,7669,1705,3369,255,583,796,946,240,669,701,265,27,596,751,4461,0.506,0.437,0.841,26.4,15.4,2.3,2.4,22-Oct-64,Sibenik
8,Dino Radja*,4,1994,1997,224,7308,1516,3052,0,3,701,954,497,1883,356,201,282,495,745,3733,0.497,0,0.735,32.6,16.7,8.4,1.6,24-Apr-67,Split
9,Damjan Rudež,3,2015,2017,146,1638,175,413,106,284,24,31,18,92,84,31,7,69,143,480,0.424,0.373,0.774,11.2,3.3,0.6,0.6,17-Jun-86,Zagreb
10,Luka Šamanić,1,2020,2020,3,48,5,16,3,8,3,4,1,10,6,0,2,2,6,16,0.313,0.375,0.75,16,5.3,3.3,2,9-Jan-00,Zagreb
11,Dario Šarić,4,2017,2020,306,8094,1344,3051,465,1298,590,705,492,1896,634,190,75,516,660,3743,0.441,0.358,0.837,26.5,12.2,6.2,2.1,8-Apr-94,Sibenik
12,Predrag Savović,1,2003,2003,27,256,29,93,4,26,21,29,9,25,22,14,1,21,33,83,0.312,0.154,0.724,9.5,3.1,0.9,0.8,21-May-76,Pula
13,Peja Stojaković,13,1999,2011,804,26966,4825,10719,1760,4392,2237,2500,747,3782,1408,747,106,1090,1398,13647,0.45,0.401,0.895,33.5,17,4.7,1.8,9-Jun-77,Slavoska Pozega
14,Bruno Šundov,7,1999,2005,102,524,79,222,5,24,10,19,32,107,18,15,14,30,106,173,0.356,0.208,0.526,5.1,1.7,1,0.2,10-Feb-80,Split
15,Žan Tabak,6,1995,2001,247,3607,537,1062,0,3,159,303,325,883,165,65,126,269,577,1233,0.506,0,0.525,14.6,5,3.6,0.7,15-Jun-70,Split
16,Roko Ukić,2,2009,2010,85,987,137,354,14,74,53,71,27,78,165,31,2,66,83,341,0.387,0.189,0.746,11.6,4,0.9,1.9,12-May-84,Split
17,Stojko Vranković,5,1991,1999,170,2050,197,413,0,0,79,132,155,516,59,22,179,132,318,473,0.477,,0.598,12.1,2.8,3,0.3,22-Jan-64,Drnis
18,Ante Žižić,3,2018,2020,113,1517,273,470,0,0,128,180,150,446,64,22,40,82,170,674,0.581,,0.711,13.4,6,3.9,0.6,4-Jan-97,Split
