,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Tariq Abdul-Wahad,6,1998,2003,236,4807,720,1726,18,76,372,529,286,776,266,184,83,309,485,1830,0.417,0.237,0.703,20.4,7.8,3.3,1.1,3-Nov-74,Maisons Alfort
2,Alexis Ajinça,7,2009,2017,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,0.503,0.286,0.797,13.3,5.3,3.9,0.5,6-May-88,Saint-Etienne
3,Nicolas Batum,12,2009,2020,789,24733,3245,7470,1247,3496,1381,1642,835,4137,2967,747,500,1449,1398,9118,0.434,0.357,0.841,31.3,11.6,5.2,3.8,14-Dec-88,Lisieux
4,Nando De Colo,2,2013,2014,119,1414,169,394,49,135,66,79,37,211,203,63,12,116,135,453,0.429,0.363,0.835,11.9,3.8,1.8,1.7,23-Jun-87,Sainte-Catherine-les-Arras
5,Boris Diaw,14,2004,2017,1064,28768,3805,7711,475,1413,1054,1470,1258,4634,3684,648,510,1897,2269,9139,0.493,0.336,0.717,27,8.6,4.4,3.5,16-Apr-82,Cormeilles-en-Parisis
6,Yakhouba Diawara,4,2007,2010,187,2614,233,653,122,405,67,103,77,258,122,52,16,72,276,655,0.357,0.301,0.65,14,3.5,1.4,0.7,29-Aug-82,Paris
7,Evan Fournier,8,2013,2020,523,14858,2663,5930,933,2485,1119,1387,224,1433,1360,444,59,862,1278,7378,0.449,0.375,0.807,28.4,14.1,2.7,2.6,29-Oct-92,Saint-Maurice
8,Rudy Gobert,7,2014,2020,474,13994,2043,3193,0,3,1464,2321,1542,5191,646,327,1030,771,1240,5550,0.64,0,0.631,29.5,11.7,11,1.4,26-Jun-92,Saint-Quentin
9,Jaylen Hoard,1,2020,2020,13,103,15,32,0,3,8,13,14,32,4,5,0,4,12,38,0.469,0,0.615,7.9,2.9,2.5,0.3,30-Mar-99,Le Havre
10,William Howard,1,2020,2020,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,0,0,,6.5,0,1,0.5,25-Oct-93,Montbrison
11,Joffrey Lauvergne,4,2015,2018,208,2823,477,995,49,172,156,217,239,789,180,55,34,165,286,1159,0.479,0.285,0.719,13.6,5.6,3.8,0.9,30-Sep-91,Mulhouse
12,Timothé Luwawu-Cabarrot,4,2017,2020,218,3519,444,1115,201,595,251,303,79,445,184,81,30,169,430,1340,0.398,0.338,0.828,16.1,6.1,2,0.8,9-May-95,Cannes
13,Ian Mahinmi,12,2008,2020,618,10353,1201,2254,8,50,799,1305,937,2705,357,357,443,601,1635,3209,0.533,0.16,0.612,16.8,5.2,4.4,0.6,5-Nov-86,Rouen
14,Cozell McQueen,1,1987,1987,3,7,3,3,0,0,0,0,3,8,0,0,1,0,1,6,1,,,2.3,2,2.7,0,18-Jan-62,Paris
15,Jérôme Moïso,5,2001,2005,145,1392,158,323,0,3,70,118,126,395,38,45,68,104,183,386,0.489,0,0.593,9.6,2.7,2.7,0.3,15-Jun-78,Paris
16,Adam Mokoka,1,2020,2020,11,112,12,28,6,15,2,4,7,10,4,4,0,2,17,32,0.429,0.4,0.5,10.2,2.9,0.9,0.4,18-Jul-98,Paris
17,Erik Murphy,1,2014,2014,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,0.231,0,,2.6,0.3,0.3,0.1,26-Oct-90,Lyon
18,Elie Okobo,2,2019,2020,108,1677,186,471,64,203,87,118,28,188,242,56,11,107,163,523,0.395,0.315,0.737,15.5,4.8,1.7,2.2,23-Oct-97,Bordeaux
19,Johan Petro,8,2006,2013,473,7262,976,2114,2,13,248,366,536,1836,227,193,234,374,1158,2202,0.462,0.154,0.678,15.4,4.7,3.9,0.5,27-Jan-86,Paris
20,Vincent Poirier,1,2020,2020,22,130,17,36,1,2,6,7,13,43,8,2,9,8,25,41,0.472,0.5,0.857,5.9,1.9,2,0.4,17-Oct-93,Clamart
21,Antoine Rigaudeau,1,2003,2003,11,91,8,35,1,5,0,0,4,8,6,3,0,6,11,17,0.229,0.2,,8.3,1.5,0.7,0.5,17-Dec-71,Cholet
22,Michael Stewart,8,1998,2005,286,3303,246,556,0,0,131,251,349,907,88,56,278,142,557,623,0.442,,0.522,11.5,2.2,3.2,0.3,25-Apr-75,Cucq-Trepied-Stella-Plage
23,Pape Sy,1,2011,2011,3,21,2,6,0,1,3,3,2,3,2,1,0,3,1,7,0.333,0,1,7,2.3,1,0.7,5-Apr-88,Loudeac
24,Axel Toupane,2,2016,2017,25,352,30,79,14,44,13,17,8,32,15,8,7,6,46,87,0.38,0.318,0.765,14.1,3.5,1.3,0.6,23-Jul-92,Mulhouse
25,Dominique Wilkins*,15,1983,1999,1074,38113,9963,21589,711,2231,6031,7438,2950,7169,2677,1378,642,2669,2061,26668,0.461,0.319,0.811,35.5,24.8,6.7,2.5,12-Jan-60,Paris
26,Guerschon Yabusele,2,2018,2019,74,486,61,138,21,65,30,44,40,105,31,12,12,27,55,173,0.442,0.323,0.682,6.6,2.3,1.4,0.4,17-Dec-95,Dreux
