,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Dalibor Bagarić,3,2001,2003,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,0.361,0,0.559,10.2,2.6,2.5,0.4,7-Feb-80,Munich
2,Uwe Blab,5,1986,1990,235,1966,185,427,0,0,135,222,128,413,102,19,85,141,344,505,0.433,,0.608,8.4,2.1,1.8,0.4,26-Mar-62,Munich
3,Isaac Bonga,2,2019,2020,88,1370,123,267,25,79,78,100,80,247,91,54,26,64,165,349,0.461,0.316,0.78,15.6,4,2.8,1,8-Nov-99,Neuwied
4,Carlos Boozer,13,2003,2015,861,26901,5847,11221,1,14,2281,3158,2037,8192,1928,765,346,1824,2612,13976,0.521,0.071,0.722,31.2,16.2,9.5,2.2,20-Nov-81,Aschaffenburg
5,Shawn Bradley,12,1994,2005,832,19531,2713,5935,4,39,1322,1847,1743,5268,573,532,2119,1059,2567,6752,0.457,0.103,0.716,23.5,8.1,6.3,0.7,22-Mar-72,Landstuhl
6,John Brown,7,1974,1980,486,10108,1348,2979,0,0,918,1172,824,2126,703,250,76,234,1449,3614,0.453,,0.783,20.8,7.4,4.4,1.4,14-Dec-51,Frankfurt
7,Kenton Edelin,1,1985,1985,10,143,4,13,0,0,3,8,8,26,10,5,4,3,39,11,0.308,,0.375,14.3,1.1,2.6,1,24-May-62,Heidelburg
8,Jo Jo English,3,1993,1995,50,577,74,178,11,32,20,36,12,54,46,18,13,46,85,179,0.416,0.344,0.556,11.5,3.6,1.1,0.9,4-Feb-70,Frankfurt
9,Frido Frey,1,1947,1947,23,,28,97,,,32,56,,,14,,,,37,88,0.289,,0.571,,3.8,,0.6,26-Oct-21,
10,Donté Greene,4,2009,2012,253,4259,585,1441,165,542,206,294,140,600,183,111,116,222,373,1541,0.406,0.304,0.701,16.8,6.1,2.4,0.7,21-Feb-88,Munich
11,Elias Harris,1,2014,2014,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,,,5.5,0,0.5,0.5,6-Jul-89,Speyer
12,Charlie Hoefer,2,1947,1948,65,,133,533,,,95,147,,,36,,,,159,361,0.25,,0.646,,5.6,,0.6,16-Sep-21,Frankfort
13,Maxi Kleber,3,2018,2020,217,4598,563,1209,236,665,181,226,273,951,209,87,208,142,433,1543,0.466,0.355,0.801,21.2,7.1,4.4,1,29-Jan-92,Wurzburg
14,Dirk Nowitzki,21,1999,2019,1522,51368,11169,23734,1982,5210,7240,8239,1468,11489,3651,1210,1281,2494,3601,31560,0.471,0.38,0.879,33.8,20.7,7.5,2.4,19-Jun-78,Wurzburg
15,Tim Ohlbrecht,1,2013,2013,3,12,1,3,0,0,1,1,0,1,1,1,0,4,1,3,0.333,,1,4,1,0.3,0.3,30-Aug-88,Wuppertal
16,Tibor Pleiß,1,2016,2016,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,0.44,0,1,6.8,2,1.3,0.2,2-Nov-89,Bergisch Gladbach
17,Anthony Randolph,6,2009,2014,252,3841,677,1494,20,83,415,561,335,1078,187,150,224,298,456,1789,0.453,0.241,0.74,15.2,7.1,4.3,0.7,15-Jul-89,Worzbach
18,Detlef Schrempf,16,1986,2001,1136,33597,5400,10995,475,1236,4486,5585,1871,7023,3833,856,312,2268,3360,15761,0.491,0.384,0.803,29.6,13.9,6.2,3.4,21-Jan-63,Leverkusen
19,Dennis Schröder,7,2014,2020,496,12654,2643,6063,564,1674,1148,1387,202,1404,2260,392,61,1173,950,6998,0.436,0.337,0.828,25.5,14.1,2.8,4.6,15-Sep-93,Braunschweig
20,Daniel Theis,3,2018,2020,194,3410,513,925,76,221,204,271,317,925,235,88,174,143,537,1306,0.555,0.344,0.753,17.6,6.7,4.8,1.2,4-Apr-92,Salzgitter
21,Kiki Vandeweghe,13,1981,1993,810,24521,6139,11699,218,592,3484,3997,893,2785,1668,468,243,1310,1560,15980,0.525,0.368,0.872,30.3,19.7,3.4,2.1,1-Aug-58,Wiesbaden
22,Moritz Wagner,2,2019,2020,88,1281,216,437,47,157,121,148,73,304,80,39,32,105,209,600,0.494,0.299,0.818,14.6,6.8,3.5,0.9,26-Apr-97,Berlin
23,Duane Washington,2,1988,1993,19,184,18,47,2,4,16,20,5,24,39,13,0,11,25,54,0.383,0.5,0.8,9.7,2.8,1.3,2.1,31-Aug-64,Eschwege
24,Chris Welp,3,1988,1990,109,1173,140,314,0,1,79,116,88,265,43,34,54,66,259,359,0.446,0,0.681,10.8,3.3,2.4,0.4,2-Jan-64,Delmenhorst
25,Paul Zipser,2,2017,2018,98,1667,169,455,70,209,50,65,28,256,82,35,31,83,164,458,0.371,0.335,0.769,17,4.7,2.6,0.8,18-Feb-94,Heidelberg
