,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Giannis Antetokounmpo,7,2014,2020,528,17137,3873,7357,309,1087,2547,3526,888,4700,2275,620,692,1458,1589,10602,0.526,0.284,0.722,32.5,20.1,8.9,4.3,6-Dec-94,Athens
2,Kostas Antetokounmpo,2,2019,2020,7,31,3,6,0,0,3,6,2,4,2,2,0,2,2,9,0.5,,0.5,4.4,1.3,0.6,0.3,20-Nov-97,Athens
3,Thanasis Antetokounmpo,2,2016,2020,22,135,27,52,0,11,7,17,12,25,15,7,2,12,20,61,0.519,0,0.412,6.1,2.8,1.1,0.7,18-Jul-92,Athens
4,Antonis Fotsis,1,2002,2002,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,0.404,0.304,0.85,11.4,3.9,2.2,0.4,1-Apr-81,Athens
5,Andreas Glyniadakis,1,2007,2007,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,0.471,,0.5,6.2,1.3,0.6,0.1,21-Aug-81,Hania
6,Georgios Papagiannis,2,2017,2018,39,477,74,144,0,2,12,14,37,123,29,7,23,32,56,160,0.514,0,0.857,12.2,4.1,3.2,0.7,3-Jul-97,Amarousio
7,Kostas Papanikolaou,2,2015,2016,69,1089,93,263,41,138,22,32,47,158,101,42,18,76,95,249,0.354,0.297,0.688,15.8,3.6,2.3,1.5,31-Jul-90,Trikala
8,Efthimi Rentzias,1,2003,2003,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,0.339,0.5,0.889,4.1,1.5,0.7,0.2,11-Jan-76,Trikala
9,Vassilis Spanoulis,1,2007,2007,31,272,23,72,5,29,34,42,5,22,28,7,1,29,33,85,0.319,0.172,0.81,8.8,2.7,0.7,0.9,7-Aug-82,Larissa
