,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Andrea Bargnani,10,2007,2016,550,15806,2932,6676,627,1771,1382,1677,530,2541,653,207,470,851,1338,7873,0.439,0.354,0.824,28.7,14.3,4.6,1.2,26-Oct-85,Rome
2,Marco Belinelli,13,2008,2020,860,19548,2949,6959,1216,3230,1256,1485,187,1769,1429,488,65,850,1222,8370,0.424,0.376,0.846,22.7,9.7,2.1,1.7,25-Mar-86,San Giovanni in Persiceto
3,Hank Biasatti,1,1947,1947,6,,2,5,,,2,4,,,0,,,,3,6,0.4,,0.5,,1,,0,14-Jan-22,Beano
4,Luigi Datome,2,2014,2015,55,447,77,186,25,79,9,11,17,75,20,8,8,20,35,188,0.414,0.316,0.818,8.1,3.4,1.4,0.4,27-Nov-87,Montebelluna
5,Vincenzo Esposito,1,1996,1996,30,282,36,100,13,56,31,39,4,16,23,7,0,39,27,116,0.36,0.232,0.795,9.4,3.9,0.5,0.8,1-Mar-69,Caserta
6,Danilo Gallinari,11,2009,2020,611,18886,2989,7004,1211,3184,2691,3083,449,2991,1237,478,240,804,1107,9880,0.427,0.38,0.873,30.9,16.2,4.9,2,8-Aug-88,Sant'Angelo Lodigiano
7,Reggie Jackson,9,2012,2020,561,14120,2680,6267,659,1955,1186,1383,304,1659,2456,390,66,1078,1094,7205,0.428,0.337,0.858,25.2,12.8,3,4.4,16-Apr-90,Pordenone
8,Nicolò Melli,1,2020,2020,60,1042,136,323,69,206,54,73,38,180,82,34,23,46,124,395,0.421,0.335,0.74,17.4,6.6,3,1.4,26-Jan-91,Reggio Emilia
9,Stefano Rusconi,1,1996,1996,7,30,3,9,0,0,2,5,3,6,3,0,2,3,10,8,0.333,,0.4,4.3,1.1,0.9,0.4,2-Oct-68,Bassano del Grappa
