,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Martynas Andriuškevičius,1,2006,2006,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0,,,1.5,0,0.7,0,12-Mar-86,Kaunas
2,Ignas Brazdeikis,1,2020,2020,9,53,6,22,1,9,4,5,2,5,4,0,1,2,3,17,0.273,0.111,0.8,5.9,1.9,0.6,0.4,8-Jan-99,Kaunas
3,Zydrunas Ilgauskas,13,1998,2011,843,22965,4207,8842,31,100,2531,3243,2444,6191,955,421,1327,1509,2776,10976,0.476,0.31,0.78,27.2,13,7.3,1.1,5-Jun-75,Kaunas
4,Šarūnas Jasikevičius,2,2006,2007,138,2530,298,751,130,366,207,228,34,222,399,66,5,206,183,933,0.397,0.355,0.908,18.3,6.8,1.6,2.9,5-Mar-76,Kaunas
5,Linas Kleiza,7,2006,2013,409,8185,1268,2912,387,1154,638,836,388,1470,321,159,73,409,886,3561,0.435,0.335,0.763,20,8.7,3.6,0.8,3-Jan-85,Kaunas
6,Mindaugas Kuzminskas,2,2017,2018,69,1018,158,371,54,168,55,68,47,126,69,29,11,51,79,425,0.426,0.321,0.809,14.8,6.2,1.8,1,19-Oct-89,Vilnius
7,Arvydas Macijauskas,1,2006,2006,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,0.341,0.25,0.867,7.1,2.3,0.5,0.3,19-Jan-80,Klaipeda
8,Šarūnas Marčiulionis*,7,1990,1997,363,8123,1571,3109,127,344,1362,1773,292,819,807,459,31,715,971,4631,0.505,0.369,0.768,22.4,12.8,2.3,2.2,13-Jun-64,Kaunas
9,Donatas Motiejūnas,6,2013,2019,251,4566,731,1558,121,404,249,417,298,952,269,118,82,287,538,1832,0.469,0.3,0.597,18.2,7.3,3.8,1.1,20-Sep-90,Kaunas
10,Arvydas Sabonis*,7,1996,2003,470,11375,2082,4160,136,415,1329,1690,734,3436,964,370,494,837,1290,5629,0.5,0.328,0.786,24.2,12,7.3,2.1,19-Dec-64,Kaunas
11,Darius Songaila,8,2004,2011,495,9229,1449,2904,3,19,514,609,553,1689,589,324,106,486,1197,3415,0.499,0.158,0.844,18.6,6.9,3.4,1.2,14-Feb-78,Marijampole
12,Jonas Valančiūnas,8,2013,2020,559,14146,2753,4896,77,217,1364,1747,1474,4952,522,214,585,862,1556,6947,0.562,0.355,0.781,25.3,12.4,8.9,0.9,6-May-92,Utena
