,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Solomon Alabi,2,2011,2012,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,0.314,,0.7,7,1.5,2.3,0.2,21-Mar-88,Kaduna
2,Peter Aluma,1,1999,1999,2,5,1,2,0,0,0,0,1,2,0,1,1,2,4,2,0.5,,,2.5,1,1,0,23-Apr-73,Lagos
3,Yinka Dare,4,1995,1998,110,1002,86,217,0,0,61,107,101,281,4,12,70,96,179,233,0.396,,0.57,9.1,2.1,2.6,0,10-Oct-72,Kano
4,Obinna Ekezie,4,2000,2005,143,1516,165,390,0,1,180,250,146,383,31,38,27,95,254,510,0.423,0,0.72,10.6,3.6,2.7,0.2,22-Aug-75,Port Harcourt
5,Festus Ezeli,3,2013,2016,170,2394,275,536,0,0,162,291,292,725,63,48,166,133,328,712,0.513,,0.557,14.1,4.2,4.3,0.4,21-Oct-89,Benin City
6,Julius Nwosu,1,1995,1995,23,84,9,28,0,0,13,17,11,24,3,0,3,9,20,31,0.321,,0.765,3.7,1.3,1,0.1,1-May-71,Nkwere
7,Josh Okogie,2,2019,2020,136,3304,366,906,101,369,270,353,128,486,190,156,59,150,305,1103,0.404,0.274,0.765,24.3,8.1,3.6,1.4,1-Sep-98,Lagos
8,Hakeem Olajuwon*,18,1985,2002,1238,44222,10749,20991,25,124,5423,7621,4034,13748,3058,2162,3830,3667,4383,26946,0.512,0.202,0.712,35.7,21.8,11.1,2.5,21-Jan-63,Lagos
9,Michael Olowokandi,9,1999,2007,500,13129,1788,4109,0,0,559,936,951,3414,327,226,697,898,1518,4135,0.435,,0.597,26.3,8.3,6.8,0.7,3-Apr-75,Lagos
10,Olumide Oyedeji,3,2001,2003,93,587,50,101,0,0,27,41,61,196,11,16,15,30,106,127,0.495,,0.659,6.3,1.4,2.1,0.1,11-May-81,Ibadan
