,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Sergei Bazarevich,1,1995,1995,10,74,11,22,1,6,7,9,1,7,14,1,1,7,10,30,0.5,0.167,0.778,7.4,3,0.7,1.4,16-Mar-65,Moscow
2,Sergey Karasev,3,2014,2016,95,1110,96,243,31,110,64,76,30,140,87,32,4,57,94,287,0.395,0.282,0.842,11.7,3,1.5,0.9,26-Oct-93,St. Petersburg
3,Sasha Kaun,1,2016,2016,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,0.529,,0.455,3.8,0.9,1,0.1,8-May-85,Tomsk
4,Andrei Kirilenko,13,2002,2015,797,23916,3146,6637,367,1185,2772,3675,1400,4352,2169,1097,1461,1518,1605,9431,0.474,0.31,0.754,30,11.8,5.5,2.7,18-Feb-81,Izhevsk
5,Yaroslav Korolev,2,2006,2007,34,168,13,46,3,12,10,16,6,16,13,6,0,7,11,39,0.283,0.25,0.625,4.9,1.1,0.5,0.4,7-May-87,Moscow
6,Johnny Macknowski,2,1950,1951,117,,285,898,,,253,348,,110,134,,,,262,823,0.317,,0.727,,7,1.9,1.1,7-Jan-23,
7,Sergei Monia,1,2006,2006,26,343,29,87,9,34,10,14,11,52,19,7,5,12,41,77,0.333,0.265,0.714,13.2,3,2,0.7,15-Apr-83,Saratov
8,Timofey Mozgov,8,2011,2018,454,8181,1230,2301,11,58,601,814,769,2225,250,139,383,527,998,3072,0.535,0.19,0.738,18,6.8,4.9,0.6,16-Jul-86,St. Petersburg
9,Pavel Podkolzin,2,2005,2006,6,28,0,2,0,0,4,8,0,9,0,0,1,4,4,4,0,,0.5,4.7,0.7,1.5,0,15-Jan-85,Novosibirsk
10,Alexey Shved,3,2013,2015,182,3271,445,1207,162,529,297,390,85,355,460,110,49,243,201,1349,0.369,0.306,0.762,18,7.4,2,2.5,16-Dec-88,Belgorod
11,Alexander Volkov,2,1990,1992,149,2453,388,853,48,144,195,318,155,384,333,102,52,154,344,1019,0.455,0.333,0.613,16.5,6.8,2.6,2.2,28-Mar-64,Omsk
