,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Gorgui Dieng,7,2014,2020,515,11344,1553,3108,116,339,836,1061,949,3166,702,427,506,603,1174,4058,0.5,0.342,0.788,22,7.9,6.1,1.4,18-Jan-90,Kebemer
2,DeSagana Diop,12,2002,2013,601,8403,503,1177,1,6,178,381,834,2219,270,227,630,355,1219,1185,0.427,0.167,0.467,14,2,3.7,0.4,30-Jan-82,Dakar
3,Tacko Fall,1,2020,2020,7,33,11,14,0,0,1,3,1,15,1,1,4,3,7,23,0.786,,0.333,4.7,3.3,2.1,0.1,10-Dec-95,Dakar
4,Hamady N'Diaye,3,2011,2014,33,157,7,15,0,0,6,13,7,25,3,2,9,6,33,20,0.467,,0.462,4.8,0.6,0.8,0.1,12-Jan-87,Dakar
5,Makhtar N'Diaye,1,1999,1999,4,27,1,4,0,0,3,4,3,5,1,0,1,1,9,5,0.25,,0.75,6.8,1.3,1.3,0.3,12-Dec-73,Dakar
6,Mamadou N'Diaye,5,2001,2005,69,858,85,199,0,1,92,125,88,225,8,17,64,40,146,262,0.427,0,0.736,12.4,3.8,3.3,0.1,16-Jun-75,Dakar
7,Boniface N'Dong,1,2006,2006,23,152,22,53,0,1,6,9,15,37,7,2,5,6,23,50,0.415,0,0.667,6.6,2.2,1.6,0.3,9-Mar-77,Dakar
8,Maurice Ndour,1,2017,2017,32,331,39,86,1,7,19,26,22,64,8,15,8,12,30,98,0.453,0.143,0.731,10.3,3.1,2,0.3,18-Jun-92,Sindia
9,Cheikh Samb,2,2008,2009,22,114,9,36,0,3,4,9,13,31,1,4,12,4,15,22,0.25,0,0.444,5.2,1,1.4,0,22-Oct-84,
10,Mouhamed Sene,3,2007,2009,47,260,35,82,0,0,33,56,28,75,1,4,22,15,44,103,0.427,,0.589,5.5,2.2,1.6,0,12-May-86,Thies
11,Pape Sow,3,2005,2007,76,879,79,190,0,0,61,90,78,214,12,34,24,41,166,219,0.416,,0.678,11.6,2.9,2.8,0.2,22-Nov-81,Dakar
