,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Miloš Babić,2,1991,1992,21,87,12,32,0,0,13,20,8,20,10,2,1,10,7,37,0.375,,0.65,4.1,1.8,1,0.5,23-Nov-68,Kraljevo
2,Nemanja Bjelica,5,2016,2020,341,7435,1030,2208,417,1062,260,337,395,1630,598,232,153,339,862,2737,0.466,0.393,0.772,21.8,8,4.8,1.8,9-May-88,Belgrade
3,Bogdan Bogdanović,3,2018,2020,209,5888,1042,2401,427,1142,320,397,97,673,732,208,46,344,447,2831,0.434,0.374,0.806,28.2,13.5,3.2,3.5,18-Aug-92,Belgrade
4,Žarko Čabarkapa,3,2004,2006,150,1550,234,548,24,88,148,202,98,312,85,33,25,119,221,640,0.427,0.273,0.733,10.3,4.3,2.1,0.6,21-May-81,Zrenjanin
5,Radisav Ćurčić,1,1993,1993,20,166,16,41,0,0,26,36,17,49,12,7,2,8,30,58,0.39,,0.722,8.3,2.9,2.5,0.6,26-Sep-65,Cacak
6,Rastko Cvetković,1,1996,1996,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,0.313,0,0,3.4,0.7,0.8,0.2,22-Jun-70,Belgrade
7,Vlade Divac*,16,1990,2005,1134,33838,5205,10510,100,426,2888,4176,2881,9326,3541,1288,1631,2470,3609,13398,0.495,0.235,0.692,29.8,11.8,8.2,3.1,3-Feb-68,Prijepolje
8,Marko Guduric,1,2020,2020,44,484,62,157,25,83,24,26,14,73,45,12,8,36,34,173,0.395,0.301,0.923,11,3.9,1.7,1,8-Mar-95,Priboj
9,Marko Jarić,7,2003,2009,447,11246,1190,2944,289,840,524,718,274,1200,1600,583,128,708,967,3193,0.404,0.344,0.73,25.2,7.1,2.7,3.6,12-Oct-78,Belgrade
10,Nikola Jokić,5,2016,2020,381,11054,2486,4741,347,1028,1143,1384,982,3657,2098,423,265,959,1084,6462,0.524,0.338,0.826,29,17,9.6,5.5,19-Feb-95,Sombor
11,Nenad Krstić,7,2005,2011,419,10547,1724,3493,2,14,760,1041,772,2261,346,162,286,497,1251,4210,0.494,0.143,0.73,25.2,10,5.4,0.8,25-Jul-83,Kraljevo
12,Boban Marjanović,5,2016,2020,230,2241,537,925,8,27,352,457,320,930,126,52,83,164,276,1434,0.581,0.296,0.77,9.7,6.2,4,0.5,15-Aug-88,Zajecar
13,Darko Miličić,10,2004,2013,468,8638,1196,2602,0,6,421,734,628,1971,405,206,613,573,1065,2813,0.46,0,0.574,18.5,6,4.2,0.9,20-Jun-85,Novi Sad
14,Nemanja Nedović,1,2014,2014,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,0.205,0.167,0.875,5.9,1.1,0.6,0.5,16-Jun-91,Nova Varos
15,Miroslav Raduljica,2,2014,2015,53,488,71,134,0,0,47,57,56,113,23,8,13,30,92,189,0.53,,0.825,9.2,3.6,2.1,0.4,5-Jan-88,Belgrade
16,Igor Rakočević,1,2003,2003,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,0.379,0.417,0.806,5.8,1.9,0.4,0.8,29-Mar-78,Belgrade
17,Željko Rebrača,5,2002,2006,215,3280,488,926,0,0,300,379,196,688,88,57,160,203,512,1276,0.527,,0.792,15.3,5.9,3.2,0.4,9-Apr-72,Apatin
18,Alen Smailagić,1,2020,2020,14,139,20,40,3,13,16,19,10,27,13,3,4,11,14,59,0.5,0.231,0.842,9.9,4.2,1.9,0.9,18-Aug-00,Belgrade
19,Dragan Tarlać,1,2001,2001,43,598,39,99,0,0,25,33,37,122,31,7,19,38,95,103,0.394,,0.758,13.9,2.4,2.8,0.7,9-May-73,Belgrade
20,Miloš Teodosić,2,2018,2019,60,1284,168,400,98,259,43,53,19,142,241,26,6,118,130,477,0.42,0.378,0.811,21.4,8,2.4,4,19-Mar-87,Valjevo
21,Mirsad Türkcan,1,2000,2000,17,90,14,38,0,6,5,8,13,33,5,3,1,8,14,33,0.368,0,0.625,5.3,1.9,1.9,0.3,7-Jun-76,Novi Pazar
22,Slavko Vraneš,1,2004,2004,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,3,0,0,0,30-Jan-83,Belgrade
23,Aleksandar Đorđević,1,1997,1997,8,61,8,16,5,7,4,5,1,5,5,0,0,5,3,25,0.5,0.714,0.8,7.6,3.1,0.6,0.6,26-Aug-67,Belgrade
