,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Primož Brezec,8,2002,2010,342,6192,1012,2034,1,6,427,609,563,1327,179,69,134,274,730,2452,0.498,0.167,0.701,18.1,7.2,3.9,0.5,2-Oct-79,Postojna
2,Vlatko Čančar,1,2020,2020,14,45,6,15,1,6,4,4,5,10,3,1,1,3,7,17,0.4,0.167,1,3.2,1.2,0.7,0.2,10-Apr-97,Koper
3,Luka Dončić,2,2019,2020,133,4365,1087,2441,339,1055,772,1047,164,1136,967,139,39,507,290,3285,0.445,0.321,0.737,32.8,24.7,8.5,7.3,28-Feb-99,Ljubljana
4,Goran Dragić,12,2009,2020,817,22899,4167,8988,991,2729,2049,2683,589,2502,3949,811,151,1849,1896,11374,0.464,0.363,0.764,28,13.9,3.1,4.8,6-May-86,Ljubljana
5,Zoran Dragić,1,2015,2015,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,0.367,0.214,0.6,4.7,1.8,0.5,0.3,22-Jun-89,Ljubljana
6,Marko Milič,2,1998,1999,44,216,47,84,3,7,11,17,13,30,14,13,1,27,24,108,0.56,0.429,0.647,4.9,2.5,0.7,0.3,7-May-77,Kranj
7,Boštjan Nachbar,6,2003,2008,317,5628,744,1834,325,867,439,560,126,836,283,135,84,280,698,2252,0.406,0.375,0.784,17.8,7.1,2.6,0.9,3-Jul-80,Slovenj Gradec
8,Rasho Nesterović,12,1999,2010,811,17983,2570,5121,1,13,378,646,1513,4143,836,330,934,748,2187,5519,0.502,0.077,0.585,22.2,6.8,5.1,1,30-May-76,Ljubljana
9,Uroš Slokar,1,2007,2007,20,72,14,26,1,2,9,13,7,14,1,1,2,9,11,38,0.538,0.5,0.692,3.6,1.9,0.7,0.1,14-May-83,Ljubljana
10,Beno Udrih,13,2005,2017,831,18185,2740,5922,465,1334,1007,1209,308,1712,2858,576,71,1179,1275,6952,0.463,0.349,0.833,21.9,8.4,2.1,3.4,5-Jul-82,Celje
11,Sasha Vujačić,10,2005,2017,581,8908,1075,2757,533,1451,411,479,205,1093,748,336,34,328,880,3094,0.39,0.367,0.858,15.3,5.3,1.9,1.3,8-Mar-84,Maribor
