,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Álex Abrines,3,2017,2019,174,2777,305,789,219,595,95,108,49,248,88,92,22,72,291,924,0.387,0.368,0.88,16,5.3,1.4,0.5,1-Aug-93,Palma de Mallorca
2,Wallace Bryant,3,1984,1986,102,1395,134,329,0,0,55,96,128,374,112,35,40,71,196,323,0.407,,0.573,13.7,3.2,3.7,1.1,14-Jul-59,Madrid
3,José Calderón,14,2006,2019,895,23643,3038,6440,920,2260,925,1060,303,2148,5148,716,71,1339,1476,7921,0.472,0.407,0.873,26.4,8.9,2.4,5.8,28-Sep-81,Villanueva de la Serena
4,Victor Claver,3,2013,2015,80,1072,100,251,34,116,24,41,43,178,56,30,16,58,103,258,0.398,0.293,0.585,13.4,3.2,2.2,0.7,30-Aug-88,Valencia
5,Rudy Fernández,4,2009,2012,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,0.399,0.36,0.84,24,9.1,2.4,2.2,4-Apr-85,Palma de Mallorca
6,Jorge Garbajosa,2,2007,2008,74,1983,230,554,72,209,57,78,50,345,128,81,15,65,92,589,0.415,0.344,0.731,26.8,8,4.7,1.7,19-Dec-77,Madrid
7,Marc Gasol,12,2009,2020,839,27726,4547,9444,381,1075,2777,3575,1373,6389,2887,766,1196,1702,2436,12252,0.481,0.354,0.777,33,14.6,7.6,3.4,29-Jan-85,Barcelona
8,Pau Gasol,18,2002,2019,1226,41001,7980,15729,179,486,4755,6311,3085,11305,3925,606,1941,2638,2632,20894,0.507,0.368,0.753,33.4,17,9.2,3.2,6-Jul-80,Barcelona
9,Juan Hernangómez,4,2017,2020,205,3310,368,860,170,473,177,245,168,703,136,82,48,109,245,1083,0.428,0.359,0.722,16.1,5.3,3.4,0.7,28-Sep-95,Madrid
10,Willy Hernangómez,4,2017,2020,209,3006,564,1063,29,88,287,418,391,1130,218,85,79,223,344,1444,0.531,0.33,0.687,14.4,6.9,5.4,1,27-May-94,Madrid
11,Raül López,2,2004,2005,113,2135,280,652,45,130,128,150,31,194,428,84,5,221,278,733,0.429,0.346,0.853,18.9,6.5,1.7,3.8,15-Apr-80,Vic
12,Fernando Martín,1,1987,1987,24,146,9,31,0,1,4,11,8,28,9,7,1,20,24,22,0.29,0,0.364,6.1,0.9,1.2,0.4,25-Mar-62,Madrid
13,Juan Carlos Navarro,1,2008,2008,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,0.402,0.361,0.849,25.8,10.9,2.6,2.2,13-Jun-80,Sant Feliu de Llobregat
14,Sergio Rodríguez,5,2007,2017,353,5281,676,1651,202,600,193,261,121,525,1183,212,13,491,441,1747,0.409,0.337,0.739,15,4.9,1.5,3.4,12-Jun-86,Tenerife
15,Ricky Rubio,9,2012,2020,563,17386,2065,5277,491,1499,1751,2082,376,2396,4387,1053,77,1536,1473,6372,0.391,0.328,0.841,30.9,11.3,4.3,7.8,21-Oct-90,El Masnou
16,Wally Szczerbiak,10,2000,2009,651,20052,3486,7193,590,1453,1633,1899,671,2602,1532,388,160,970,1380,9195,0.485,0.406,0.86,30.8,14.1,4,2.4,5-Mar-77,Madrid
