,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,OG Anunoby,3,2018,2020,210,4899,632,1316,229,627,147,226,182,745,210,194,81,179,437,1640,0.48,0.365,0.65,23.3,7.8,3.5,1,17-Jul-97,London
2,Robert Archibald,2,2003,2004,44,328,15,53,0,0,21,49,27,69,16,14,6,17,59,51,0.283,,0.429,7.5,1.2,1.6,0.4,29-Mar-80,Paisley
3,Kelenna Azubuike,5,2007,2012,208,5025,802,1748,210,514,364,473,257,829,230,130,103,203,408,2178,0.459,0.409,0.77,24.2,10.5,4,1.1,16-Dec-83,London
4,Steve Bucknall,1,1990,1990,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,0.273,0,0.833,4.2,1.3,0.4,0.6,17-Mar-66,London
5,James Donaldson,14,1981,1995,957,26222,3105,5442,0,0,1993,2722,2060,7492,765,336,1267,1454,2025,8203,0.571,,0.732,27.4,8.6,7.8,0.8,16-Aug-57,Heacham
6,Ndudi Ebi,2,2004,2005,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,0.486,0,0.462,4.5,2.1,1,0.2,18-Jun-84,London
7,Joel Freeland,3,2013,2015,151,1821,209,455,0,2,59,81,190,518,65,32,56,74,255,477,0.459,0,0.728,12.1,3.2,3.4,0.4,7-Feb-87,Farnham
8,Ben Gordon,11,2005,2015,744,20366,3931,9092,1171,2921,2051,2394,333,1851,1868,508,114,1551,1720,11084,0.432,0.401,0.857,27.4,14.9,2.5,2.5,4-Apr-83,London
9,Woody Grimshaw,1,1947,1947,21,,20,56,,,21,44,,,1,,,,25,61,0.357,,0.477,,2.9,,0,24-Sep-19,
10,Chris Harris,1,1956,1956,41,420,37,149,,,27,45,,44,44,,,,43,101,0.248,,0.6,10.2,2.5,1.1,1.1,11-Aug-33,Southampton
11,Pops Mensah-Bonsu,4,2007,2011,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,0.41,0,0.589,8.3,3,3,0.2,7-Sep-83,London
12,Admiral Schofield,1,2020,2020,33,368,35,92,19,61,10,15,7,47,15,8,4,7,50,99,0.38,0.311,0.667,11.2,3,1.4,0.5,30-Mar-97,London
